Label,United States!!Total!!Estimate,United States!!Percent!!Estimate,United States!!Male!!Estimate,United States!!Percent Male!!Estimate,United States!!Female!!Estimate,United States!!Percent Female!!Estimate
AGE BY EDUCATIONAL ATTAINMENT,,,,,,
    Population 18 to 24 years,"30,373,170",(X),"15,556,254",(X),"14,816,916",(X)
        Less than high school graduate,"3,662,080",12.10%,"2,126,765",13.70%,"1,535,315",10.40%
        High school graduate (includes equivalency),"9,921,331",32.70%,"5,613,801",36.10%,"4,307,530",29.10%
        Some college or associate's degree,"13,168,280",43.40%,"6,298,275",40.50%,"6,870,005",46.40%
        Bachelor's degree or higher,"3,621,479",11.90%,"1,517,413",9.80%,"2,104,066",14.20%
    Population 25 years and over,"224,898,568",(X),"108,711,092",(X),"116,187,476",(X)
        Less than 9th grade,"10,874,685",4.80%,"5,401,669",5.00%,"5,473,016",4.70%
"        9th to 12th grade, no diploma","14,743,856",6.60%,"7,685,261",7.10%,"7,058,595",6.10%
        High school graduate (includes equivalency),"60,482,353",26.90%,"30,551,814",28.10%,"29,930,539",25.80%
"        Some college, no degree","44,914,086",20.00%,"21,578,525",19.80%,"23,335,561",20.10%
        Associate's degree,"19,381,937",8.60%,"8,391,409",7.70%,"10,990,528",9.50%
        Bachelor's degree,"45,730,479",20.30%,"21,645,659",19.90%,"24,084,820",20.70%
        Graduate or professional degree,"28,771,172",12.80%,"13,456,755",12.40%,"15,314,417",13.20%
        High school graduate or higher,"199,280,027",88.60%,"95,624,162",88.00%,"103,655,865",89.20%
        Bachelor's degree or higher,"74,501,651",33.10%,"35,102,414",32.30%,"39,399,237",33.90%
    Population 25 to 34 years,"45,578,475",(X),"23,099,299",(X),"22,479,176",(X)
        High school graduate or higher,"41,789,966",91.70%,"20,916,920",90.60%,"20,873,046",92.90%
        Bachelor's degree or higher,"16,837,545",36.90%,"7,600,635",32.90%,"9,236,910",41.10%
    Population 35 to 44 years,"41,914,845",(X),"20,920,715",(X),"20,994,130",(X)
        High school graduate or higher,"37,310,520",89.00%,"18,358,431",87.80%,"18,952,089",90.30%
        Bachelor's degree or higher,"15,688,232",37.40%,"7,051,332",33.70%,"8,636,900",41.10%
    Population 45 to 64 years,"83,331,220",(X),"40,646,797",(X),"42,684,423",(X)
        High school graduate or higher,"73,820,286",88.60%,"35,576,443",87.50%,"38,243,843",89.60%
        Bachelor's degree or higher,"26,523,511",31.80%,"12,456,376",30.60%,"14,067,135",33.00%
    Population 65 years and over,"54,074,028",(X),"24,044,281",(X),"30,029,747",(X)
        High school graduate or higher,"46,359,255",85.70%,"20,772,368",86.40%,"25,586,887",85.20%
        Bachelor's degree or higher,"15,452,363",28.60%,"7,994,071",33.20%,"7,458,292",24.80%
RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,,,,,
    White alone,"167,334,031",(X),"81,503,222",(X),"85,830,809",(X)
        High school graduate or higher,"151,274,037",90.40%,"73,141,588",89.70%,"78,132,449",91.00%
        Bachelor's degree or higher,"57,614,239",34.40%,"27,574,216",33.80%,"30,040,023",35.00%
"    White alone, not Hispanic or Latino","144,203,068",(X),"70,079,401",(X),"74,123,667",(X)
        High school graduate or higher,"134,556,337",93.30%,"65,002,939",92.80%,"69,553,398",93.80%
