Label,United States!!Total!!Estimate,United States!!Percent!!Estimate,United States!!Male!!Estimate,United States!!Percent Male!!Estimate,United States!!Female!!Estimate,United States!!Percent Female!!Estimate
AGE BY EDUCATIONAL ATTAINMENT,,,,,,
Population 18 to 24 years,"30,820,412",(X),"15,827,557",(X),"14,992,855",(X)
    Less than high school graduate,"3,919,137",12.70%,"2,293,879",14.50%,"1,625,258",10.80%
    High school graduate (includes equivalency),"9,772,204",31.70%,"5,514,948",34.80%,"4,257,256",28.40%
    Some college or associate's degree,"13,755,643",44.60%,"6,602,442",41.70%,"7,153,201",47.70%
    Bachelor's degree or higher,"3,373,428",10.90%,"1,416,288",8.90%,"1,957,140",13.10%
Population 25 years and over,"221,250,083",(X),"106,901,803",(X),"114,348,280",(X)
    Less than 9th grade,"11,267,058",5.10%,"5,576,969",5.20%,"5,690,089",5.00%
"    9th to 12th grade, no diploma","15,315,153",6.90%,"7,993,828",7.50%,"7,321,325",6.40%
    High school graduate (includes equivalency),"60,031,545",27.10%,"30,148,425",28.20%,"29,883,120",26.10%
"    Some college, no degree","45,109,653",20.40%,"21,594,389",20.20%,"23,515,264",20.60%
    Associate's degree,"18,760,759",8.50%,"8,078,929",7.60%,"10,681,830",9.30%
    Bachelor's degree,"43,585,028",19.70%,"20,618,486",19.30%,"22,966,542",20.10%
    Graduate or professional degree,"27,180,887",12.30%,"12,890,777",12.10%,"14,290,110",12.50%
Percent high school graduate or higher,(X),88.00%,(X),87.30%,(X),88.60%
Percent bachelor's degree or higher,(X),32.00%,(X),31.30%,(X),32.60%
Population 25 to 34 years,"44,965,735",(X),"22,744,325",(X),"22,221,410",(X)
    High school graduate or higher,"40,884,011",90.90%,"20,377,767",89.60%,"20,506,244",92.30%
    Bachelor's degree or higher,"16,009,648",35.60%,"7,193,896",31.60%,"8,815,752",39.70%
Population 35 to 44 years,"41,117,905",(X),"20,471,735",(X),"20,646,170",(X)
    High school graduate or higher,"36,355,339",88.40%,"17,830,407",87.10%,"18,524,932",89.70%
    Bachelor's degree or higher,"14,748,710",35.90%,"6,622,971",32.40%,"8,125,739",39.40%
Population 45 to 64 years,"84,350,731",(X),"41,165,294",(X),"43,185,437",(X)
    High school graduate or higher,"74,522,835",88.30%,"35,921,995",87.30%,"38,600,840",89.40%
