Label,United_States_Total_Estimate,United_States_Male_Estimate,United_States_Female_Estimate
    Population 18 to 24 years,"30,656,350","15,699,747","14,956,603"
        Less than high school graduate,"3,839,148","2,235,271","1,603,877"
        High school graduate (includes equivalency),"9,816,791","5,482,696","4,334,095"
        Some college or associate's degree,"13,454,481","6,481,683","6,972,798"
        Bachelor's degree or higher,"3,545,930","1,500,097","2,045,833"
    Population 25 years and over,"223,158,847","107,879,122","115,279,725"
        Less than 9th grade,"11,083,738","5,485,886","5,597,852"
"        9th to 12th grade, no diploma","14,960,425","7,817,988","7,142,437"
        High school graduate (includes equivalency),"59,961,893","30,176,064","29,785,829"
"        Some college, no degree","45,224,654","21,678,168","23,546,486"
        Associate's degree,"19,177,676","8,311,544","10,866,132"
        Bachelor's degree,"44,599,186","21,103,379","23,495,807"
        Graduate or professional degree,"28,151,275","13,306,093","14,845,182"
