Label,United_States_Total_Estimate,United_States_Male_Estimate,United_States_Female_Estimate
Population 18 to 24 years,"30,820,412","15,827,557","14,992,855"
    Less than high school graduate,"3,919,137","2,293,879","1,625,258"
    High school graduate (includes equivalency),"9,772,204","5,514,948","4,257,256"
    Some college or associate's degree,"13,755,643","6,602,442","7,153,201"
    Bachelor's degree or higher,"3,373,428","1,416,288","1,957,140"
Population 25 years and over,"221,250,083","106,901,803","114,348,280"
    Less than 9th grade,"11,267,058","5,576,969","5,690,089"
"    9th to 12th grade, no diploma","15,315,153","7,993,828","7,321,325"
    High school graduate (includes equivalency),"60,031,545","30,148,425","29,883,120"
"    Some college, no degree","45,109,653","21,594,389","23,515,264"
    Associate's degree,"18,760,759","8,078,929","10,681,830"
    Bachelor's degree,"43,585,028","20,618,486","22,966,542"
    Graduate or professional degree,"27,180,887","12,890,777","14,290,110"
