Label,United_States_Total_Estimate,United_States_Males_Estimate,United_States_Females_Estimate
Population 18 to 24 years,"31,341,948","16,065,032","15,276,916"
    Less than high school graduate,"4,231,896","2,478,913","1,752,983"
    High school graduate (includes equivalency),"9,539,682","5,371,473","4,168,209"
    Some college or associate's degree,"14,353,301","6,873,962","7,479,339"
    Bachelor's degree or higher,"3,217,069","1,340,684","1,876,385"
Population 25 years and over,"216,447,163","104,477,394","111,969,769"
    Less than 9th grade,"11,988,039","5,942,569","6,045,470"
"    9th to 12th grade, no diploma","15,838,087","8,238,447","7,599,640"
    High school graduate (includes equivalency),"59,662,981","29,620,517","30,042,464"
"    Some college, no degree","44,909,753","21,375,190","23,534,563"
    Associate's degree,"17,806,750","7,652,143","10,154,607"
    Bachelor's degree,"41,152,388","19,615,278","21,537,110"
    Graduate or professional degree,"25,089,165","12,033,250","13,055,915"
